Date/Time,Year,Month,Day,Time,Temp (°C),Weather
2016-06-26 10:00,2016,6,26,10:00,19.3,Mainly Clear
2016-06-26 13:00,2016,6,26,13:00,20.6,Clear
2016-06-26 16:00,2016,6,26,16:00,22.1,Mainly Clear
2016-06-26 19:00,2016,6,26,19:00,19.6,Mainly Clear
2016-06-26 22:00,2016,6,26,22:00,15.9,Mainly Clear
2016-06-27 01:00,2016,6,27,01:00,14.9,Mainly Clear
2016-06-27 04:00,2016,6,27,04:00,15.9,Mainly Clear
2016-06-27 07:00,2016,6,27,07:00,19.4,Mostly Cloudy
2016-06-27 10:00,2016,6,27,10:00,21.2,Mostly Cloudy
2016-06-27 13:00,2016,6,27,13:00,22.0,Mostly Cloudy
2016-06-27 16:00,2016,6,27,16:00,23.7,Clear
2016-06-27 19:00,2016,6,27,19:00,21.6,Mainly Clear
2016-06-27 22:00,2016,6,27,22:00,18.1,Mainly Clear
2016-06-28 01:00,2016,6,28,01:00,15.7,Clear
2016-06-28 04:00,2016,6,28,04:00,14.1,Mainly Clear
2016-06-28 07:00,2016,6,28,07:00,16.5,Clear
2016-06-28 10:00,2016,6,28,10:00,19.2,Clear
2016-06-28 13:00,2016,6,28,13:00,18.8,Clear
2016-06-28 16:00,2016,6,28,16:00,20.6,Clear
2016-06-28 19:00,2016,6,28,19:00,22.0,Mainly Clear
2016-06-28 22:00,2016,6,28,22:00,16.8,Clear
2016-06-29 01:00,2016,6,29,01:00,14.4,Clear
2016-06-29 04:00,2016,6,29,04:00,13.6,Mainly Clear
2016-06-29 07:00,2016,6,29,07:00,16.1,Mainly Clear
2016-06-29 10:00,2016,6,29,10:00,19.2,Clear
2016-06-29 13:00,2016,6,29,13:00,21.3,Clear
2016-06-29 16:00,2016,6,29,16:00,22.7,Clear
2016-06-29 19:00,2016,6,29,19:00,19.4,Clear
2016-06-29 22:00,2016,6,29,22:00,14.8,Mainly Clear
2016-06-30 01:00,2016,6,30,01:00,13.4,Clear
2016-06-30 04:00,2016,6,30,04:00,13.0,Mostly Cloudy
2016-06-30 07:00,2016,6,30,07:00,15.0,Mostly Cloudy
2016-06-30 10:00,2016,6,30,10:00,18.4,Mostly Cloudy
2016-06-30 13:00,2016,6,30,13:00,19.1,Cloudy
2016-06-30 16:00,2016,6,30,16:00,21.2,Mostly Cloudy
2016-06-30 19:00,2016,6,30,19:00,19.6,Mostly Cloudy
2016-06-30 22:00,2016,6,30,22:00,15.8,Mainly Clear
2016-07-01 01:00,2016,7,1,01:00,14.4,Clear
2016-07-01 04:00,2016,7,1,04:00,13.5,Cloudy
2016-07-01 07:00,2016,7,1,07:00,14.5,Rain
2016-07-01 10:00,2016,7,1,10:00,15.9,Rain
2016-07-01 13:00,2016,7,1,13:00,16.9,Cloudy
2016-07-01 16:00,2016,7,1,16:00,19.9,Mainly Clear
2016-07-01 19:00,2016,7,1,19:00,18.8,Cloudy
2016-07-01 22:00,2016,7,1,22:00,15.8,Cloudy
2016-07-02 01:00,2016,7,2,01:00,15.6,Cloudy
2016-07-02 04:00,2016,7,2,04:00,15.2,Cloudy
2016-07-02 07:00,2016,7,2,07:00,17.7,Mostly Cloudy
2016-07-02 10:00,2016,7,2,10:00,20.8,Mostly Cloudy
2016-07-02 13:00,2016,7,2,13:00,22.6,Mostly Cloudy
2016-07-02 16:00,2016,7,2,16:00,21.4,Mostly Cloudy
2016-07-02 19:00,2016,7,2,19:00,19.6,Mainly Clear
2016-07-02 22:00,2016,7,2,22:00,17.1,Mostly Cloudy
2016-07-03 01:00,2016,7,3,01:00,16.1,Cloudy
2016-07-03 04:00,2016,7,3,04:00,16.6,Mostly Cloudy
2016-07-03 07:00,2016,7,3,07:00,17.0,Mainly Clear
2016-07-03 10:00,2016,7,3,10:00,18.8,Mainly Clear
2016-07-03 13:00,2016,7,3,13:00,19.8,Mainly Clear
2016-07-03 16:00,2016,7,3,16:00,19.7,Mainly Clear
2016-07-03 19:00,2016,7,3,19:00,18.5,Mostly Cloudy
2016-07-03 22:00,2016,7,3,22:00,15.9,Rain Showers
2016-07-03 23:00,2016,7,3,23:00,15.0,Rain Showers
2016-07-04 01:00,2016,7,4,01:00,14.4,Rain Showers
2016-07-04 04:00,2016,7,4,04:00,15.7,Mostly Cloudy
2016-07-04 06:00,2016,7,4,06:00,15.6,Rain
2016-07-04 07:00,2016,7,4,07:00,16.1,Cloudy
2016-07-04 10:00,2016,7,4,10:00,17.5,Mostly Cloudy
2016-07-04 13:00,2016,7,4,13:00,19.2,Mostly Cloudy
2016-07-04 16:00,2016,7,4,16:00,19.9,Mostly Cloudy
2016-07-04 19:00,2016,7,4,19:00,18.5,Mostly Cloudy
2016-07-04 22:00,2016,7,4,22:00,16.8,Mostly Cloudy
2016-07-04 23:00,2016,7,4,23:00,15.3,Rain Showers
2016-07-05 01:00,2016,7,5,01:00,14.3,Cloudy
2016-07-05 04:00,2016,7,5,04:00,13.7,Mostly Cloudy
2016-07-05 07:00,2016,7,5,07:00,15.1,Cloudy
2016-07-05 10:00,2016,7,5,10:00,16.0,Rain
2016-07-05 11:00,2016,7,5,11:00,14.6,Rain
2016-07-05 13:00,2016,7,5,13:00,16.2,Mostly Cloudy
2016-07-05 16:00,2016,7,5,16:00,17.7,Mostly Cloudy
2016-07-05 19:00,2016,7,5,19:00,16.1,Mostly Cloudy
2016-07-05 22:00,2016,7,5,22:00,14.6,Mostly Cloudy
2016-07-06 01:00,2016,7,6,01:00,12.7,Mainly Clear
2016-07-06 04:00,2016,7,6,04:00,13.1,Mostly Cloudy
2016-07-06 07:00,2016,7,6,07:00,14.2,Mostly Cloudy
2016-07-06 10:00,2016,7,6,10:00,18.8,Mainly Clear
2016-07-06 13:00,2016,7,6,13:00,20.4,Mainly Clear
2016-07-06 16:00,2016,7,6,16:00,19.8,Mainly Clear
2016-07-06 19:00,2016,7,6,19:00,18.2,Mainly Clear
2016-07-06 22:00,2016,7,6,22:00,16.3,Cloudy
2016-07-07 01:00,2016,7,7,01:00,15.5,Cloudy
2016-07-07 04:00,2016,7,7,04:00,15.2,Cloudy
2016-07-07 05:00,2016,7,7,05:00,15.3,Rain
2016-07-07 06:00,2016,7,7,06:00,15.2,Rain
2016-07-07 07:00,2016,7,7,07:00,15.8,Rain
2016-07-07 08:00,2016,7,7,08:00,16.1,Rain
2016-07-07 09:00,2016,7,7,09:00,15.6,Rain
2016-07-07 10:00,2016,7,7,10:00,14.9,Rain
2016-07-07 11:00,2016,7,7,11:00,15.2,Rain
2016-07-07 12:00,2016,7,7,12:00,15.7,Rain
2016-07-07 13:00,2016,7,7,13:00,15.7,Rain Showers
2016-07-07 15:00,2016,7,7,15:00,17.1,Drizzle
2016-07-07 16:00,2016,7,7,16:00,16.4,Cloudy
2016-07-07 17:00,2016,7,7,17:00,16.3,Rain
2016-07-07 18:00,2016,7,7,18:00,16.0,Rain
2016-07-07 19:00,2016,7,7,19:00,15.8,Rain
2016-07-07 22:00,2016,7,7,22:00,15.9,Cloudy
2016-07-08 01:00,2016,7,8,01:00,16.0,Cloudy
2016-07-08 04:00,2016,7,8,04:00,15.3,Cloudy
2016-07-08 07:00,2016,7,8,07:00,15.6,Mostly Cloudy
2016-07-08 10:00,2016,7,8,10:00,17.0,Cloudy
2016-07-08 13:00,2016,7,8,13:00,19.8,Mostly Cloudy
2016-07-08 16:00,2016,7,8,16:00,19.5,Mostly Cloudy
2016-07-08 19:00,2016,7,8,19:00,19.7,Mostly Cloudy
2016-07-08 22:00,2016,7,8,22:00,18.0,Cloudy
2016-07-09 01:00,2016,7,9,01:00,16.3,Cloudy
2016-07-09 02:00,2016,7,9,02:00,14.6,"Thunderstorms,Rain Showers"
2016-07-09 03:00,2016,7,9,03:00,14.2,Rain
2016-07-09 04:00,2016,7,9,04:00,14.0,"Moderate Rain,Fog"
2016-07-09 05:00,2016,7,9,05:00,13.9,Rain
2016-07-09 06:00,2016,7,9,06:00,14.0,"Rain Showers,Fog"
2016-07-09 07:00,2016,7,9,07:00,14.4,Rain Showers
2016-07-09 10:00,2016,7,9,10:00,16.6,Mostly Cloudy
2016-07-09 13:00,2016,7,9,13:00,19.1,Mostly Cloudy
2016-07-09 16:00,2016,7,9,16:00,20.5,Mostly Cloudy
2016-07-09 19:00,2016,7,9,19:00,17.6,Cloudy
2016-07-09 22:00,2016,7,9,22:00,16.5,Cloudy
2016-07-10 01:00,2016,7,10,01:00,13.8,Mostly Cloudy
2016-07-10 04:00,2016,7,10,04:00,14.6,Mostly Cloudy
2016-07-10 07:00,2016,7,10,07:00,15.6,Mostly Cloudy
2016-07-10 10:00,2016,7,10,10:00,18.5,Mainly Clear
2016-07-10 13:00,2016,7,10,13:00,20.6,Mainly Clear
2016-07-10 16:00,2016,7,10,16:00,20.7,Mainly Clear
2016-07-10 19:00,2016,7,10,19:00,19.3,Mostly Cloudy
2016-07-10 22:00,2016,7,10,22:00,16.8,Cloudy
2016-07-10 23:00,2016,7,10,23:00,15.5,Rain
2016-07-11 00:00,2016,7,11,00:00,14.6,Rain
2016-07-11 01:00,2016,7,11,01:00,14.4,Cloudy
2016-07-11 04:00,2016,7,11,04:00,14.2,Cloudy
2016-07-11 07:00,2016,7,11,07:00,14.7,Mostly Cloudy
2016-07-11 10:00,2016,7,11,10:00,16.5,Cloudy
2016-07-11 13:00,2016,7,11,13:00,17.8,Mostly Cloudy
2016-07-11 16:00,2016,7,11,16:00,19.9,Mostly Cloudy
